0,pos_start,pos_stop,length,dies6_pool,disw2_pool
-3ns,74,154,80,2.1098719171812032e-06,5.749936459831508e-44
-2L,179,199,20,1.5052211054177003e-15,0.5546269447878044
-2ns,249,329,80,0.0014672051354091525,4.356289192563352e-32
-1L,369,379,10,5.322818913970545e-11,2.1379377677420218e-38
-1ns,389,469,80,1.8983659382567032e-12,4.2802524367526095e-56
ARS305,519,599,80,1.3974064839348133e-96,1.765386960105952e-206
+1ns,649,729,80,1.324870034947175e-17,9.003198573933526e-95
+2ns,824,904,80,0.0017367222934376622,9.538479267703362e-36
+2L,929,959,30,0.012798098809949632,6.672964386498115e-05
+3ns,979,1059,80,1.4348120645285362e-06,3.6868718452173715e-48
